epsilon,p,n,mu
3714.9993538540666,3172.165057970716,1.8525710335407843,3717.625012554296
3724.9993538540666,3182.165057970716,1.85525897291242,3723.01900310003
3734.9993538540666,3192.165057970716,1.8579430235692704,3728.40519001336
3744.9993538540666,3202.165057970716,1.8606232023403877,3733.783607065784
3754.9993538540666,3212.165057970716,1.863299525933787,3739.154287785914
3764.9993538540666,3222.165057970716,1.8659720109376643,3744.517265461919
3774.9993538540666,3232.165057970716,1.868640673821596,3749.872573143923
3784.9993538540666,3242.165057970716,1.871305530937721,3755.220243646389
3794.9993538540666,3252.165057970716,1.873966598521911,3760.560309550461
3804.9993538540666,3262.165057970716,1.876623892694926,3765.892803206282
3814.9993538540666,3272.165057970716,1.8792774294635517,3771.2177567352815
3824.9993538540666,3282.165057970716,1.881927224721724,3776.535202032428
3834.9993538540666,3292.165057970716,1.8845732942516424,3781.845170768461
3844.9993538540666,3302.165057970716,1.8872156537248637,3787.147694392093
3854.9993538540666,3312.165057970716,1.889854318703386,3792.442804132181
3864.9993538540666,3322.165057970716,1.89248930464072,3797.730530999873
3874.9993538540666,3332.165057970716,1.8951206268829413,3803.010905790726
3884.9993538540666,3342.165057970716,1.8977483006697355,3808.283959086798
3894.9993538540666,3352.165057970716,1.9003723411354276,3813.549721258716
3904.9993538540666,3362.165057970716,1.902992763309998,3818.808222467717
3914.9993538540666,3372.165057970716,1.9056095821200885,3824.059492667663
3924.9993538540666,3382.165057970716,1.9082228123899927,3829.303561607029
3934.9993538540666,3392.165057970716,1.910832468842638,3834.5404588308743
3944.9993538540666,3402.165057970716,1.9134385661005495,3839.7702136827816
3954.9993538540666,3412.165057970716,1.9160411186868105,3844.992855306773
3964.9993538540666,3422.165057970716,1.9186401410260028,3850.2084126492095
3974.9993538540666,3432.165057970716,1.9212356474451424,3855.4169144606617
3984.9993538540666,3442.165057970716,1.9238276521746,3860.618389297753
3994.9993538540666,3452.165057970716,1.926416169349009,3865.8128655249975
4004.9993538540666,3462.165057970716,1.9290012130081684,3871.000371316596
4014.9993538540666,3472.165057970716,1.9315827970979296,3876.1809346582154
4024.9993538540666,3482.165057970716,1.9341609354710736,3881.354583348763
4034.9993538540666,3492.165057970716,1.9367356418881785,3886.521345002117
4044.9993538540666,3502.165057970716,1.939306930018477,3891.681247048849
4054.9993538540666,3512.165057970716,1.941874813440704,3896.8343167379207
4064.9993538540666,3522.165057970716,1.9444393056439289,3901.980581138368
4074.9993538540666,3532.165057970716,1.947000420028388,3907.1200671409542
4084.9993538540666,3542.165057970716,1.9495581699062987,3912.252801459813
4094.9993538540666,3552.165057970716,1.9521125685026648,3917.378810634066
4104.999353854067,3562.165057970716,1.9546636289560797,3922.498121029427
4114.999353854067,3572.165057970716,1.957211364319507,3927.610758839781
4124.999353854067,3582.165057970716,1.9597557875610685,3932.716750088749
4134.999353854067,3592.165057970716,1.9622969115648068,3937.816120631236
4144.999353854067,3602.165057970716,1.964834749131452,3942.908896154952
4154.999353854067,3612.165057970716,1.96736931297917,3947.995102181925
4164.999353854067,3622.165057970716,1.9699006157443093,3953.07476407
4174.999353854067,3632.165057970716,1.9724286699821325,3958.1479070143023
4184.999353854067,3642.165057970716,1.9749534881675468,3963.214556048703
4194.999353854067,3652.165057970716,1.9774750826958196,3968.274736047258
4204.999353854067,3662.165057970716,1.979993465883288,3973.328471725633
4214.999353854067,3672.165057970716,1.9825086499680624,3978.375787642511
4224.999353854067,3682.165057970716,1.9850206471107212,3983.4167082009862
4234.999353854067,3692.165057970716,1.9875294693949928,3988.4512576499415
4244.999353854067,3702.165057970716,1.9900351288284384,3993.479460085405
4254.999353854067,3712.165057970716,1.9925376373431185,3998.5013394519
4264.999353854067,3722.165057970716,1.995037006796258,4003.516919543772
4274.999353854067,3732.165057970716,1.9975332489709023,4008.526224006507
4284.999353854067,3742.165057970716,2.000026375576564,4013.529276338032
4294.999353854067,3752.165057970716,2.0025163982498624,4018.5260998899967
4304.999353854067,3762.165057970716,2.005003328555162,4023.516717869048
4314.999353854067,3772.165057970716,2.007487177985193,4028.501153338092
4324.999353854067,3782.165057970716,2.0099679579616763,4033.479429217528
4334.999353854067,3792.165057970716,2.0124456798359325,4038.451568286485
4344.999353854067,3802.165057970716,2.014920354889489,4043.417593184037
4354.999353854067,3812.165057970716,2.0173919943346807,4048.377526410402
4364.999353854067,3822.165057970716,2.019860609315241,4053.331390328136
4374.999353854067,3832.165057970716,2.0223262109068885,4058.279207163307
4384.999353854067,3842.165057970716,2.024788810117907,4063.220999006657
4394.999353854067,3852.165057970716,2.027248417889718,4068.1567878147566
4404.999353854067,3862.165057970716,2.02970504509745,4073.0865954111378
4414.999353854067,3872.165057970716,2.032158702550497,4078.010443487425
4424.999353854067,3882.165057970716,2.034609400993074,4082.928353604448
4434.999353854067,3892.165057970716,2.0370571511047677,4087.8403471933375
